Train,Test,Features,Classifier,Scaler,Eval-mode,Accuracy,Sensitivity,Specificity
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax-sag-cor--pcl-f,1-NN-L2,MinMax,4-fold,62.08530805687204,49.42528735632184,70.96774193548387
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax-sag-cor--pcl-f,1-NN-L2,Z-score,4-fold,62.08530805687204,49.808429118773944,70.6989247311828
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax-sag-cor--pcl-f,GaussianNB,None,4-fold,67.4565560821485,63.984674329501914,69.89247311827957
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax-sag-cor--pcl-f,GaussianNB,MinMax,4-fold,67.4565560821485,63.984674329501914,69.89247311827957
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax-sag-cor--pcl-f,GaussianNB,Z-score,4-fold,67.4565560821485,63.984674329501914,69.89247311827957
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax-sag-cor--pcl-f,LogisticRegression,None,4-fold,58.767772511848335,0.0,100.0
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax-sag-cor--pcl-f,LogisticRegression,MinMax,4-fold,72.51184834123224,63.601532567049816,78.76344086021506
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax-sag-cor--pcl-f,LogisticRegression,Z-score,4-fold,71.87993680884675,67.04980842911877,75.26881720430107
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax-sag-cor--pcl-f,LinearClassifier,None,4-fold,51.81674565560821,52.87356321839081,51.075268817204304
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax-sag-cor--pcl-f,LinearClassifier,MinMax,4-fold,69.98420221169036,75.09578544061303,66.39784946236558
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax-sag-cor--pcl-f,LinearClassifier,Z-score,4-fold,72.03791469194313,59.77011494252874,80.64516129032258
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax-sag-cor--pcl-br,1-NN-L2,None,4-fold,79.14691943127961,75.09578544061303,81.98924731182797
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax-sag-cor--pcl-br,1-NN-L2,MinMax,4-fold,79.62085308056872,75.86206896551724,82.25806451612904
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax-sag-cor--pcl-br,1-NN-L2,Z-score,4-fold,78.51500789889415,76.24521072796935,80.10752688172043
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax-sag-cor--pcl-br,GaussianNB,None,4-fold,78.35703001579779,88.12260536398468,71.50537634408603
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax-sag-cor--pcl-br,GaussianNB,MinMax,4-fold,78.35703001579779,88.12260536398468,71.50537634408603
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax-sag-cor--pcl-br,GaussianNB,Z-score,4-fold,78.35703001579779,88.12260536398468,71.50537634408603
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax-sag-cor--pcl-br,LogisticRegression,None,4-fold,58.767772511848335,0.0,100.0
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax-sag-cor--pcl-br,LogisticRegression,MinMax,4-fold,88.46761453396525,86.97318007662835,89.51612903225806
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax-sag-cor--pcl-br,LogisticRegression,Z-score,4-fold,84.04423380726699,85.0574712643678,83.33333333333334
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax-sag-cor--pcl-br,LinearClassifier,None,4-fold,58.60979462875198,52.490421455938694,62.903225806451616
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax-sag-cor--pcl-br,LinearClassifier,MinMax,4-fold,86.7298578199052,82.37547892720306,89.78494623655914
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax-sag-cor--pcl-br,LinearClassifier,Z-score,4-fold,84.83412322274881,80.45977011494253,87.90322580645162
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax--pca-f,1-NN-L2,None,4-fold,57.81990521327014,50.191570881226056,63.17204301075269
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax--pca-f,1-NN-L2,MinMax,4-fold,56.24012638230648,49.042145593869726,61.29032258064516
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax--pca-f,1-NN-L2,Z-score,4-fold,56.872037914691944,47.89272030651341,63.17204301075269
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax--pca-f,GaussianNB,None,4-fold,63.507109004739334,59.38697318007663,66.39784946236558
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax--pca-f,GaussianNB,MinMax,4-fold,63.507109004739334,59.38697318007663,66.39784946236558
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax--pca-f,GaussianNB,Z-score,4-fold,63.507109004739334,59.38697318007663,66.39784946236558
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax--pca-f,LogisticRegression,None,4-fold,58.767772511848335,0.0,100.0
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax--pca-f,LogisticRegression,MinMax,4-fold,63.82306477093207,53.25670498084292,71.23655913978494
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax--pca-f,LogisticRegression,Z-score,4-fold,59.55766192733017,55.55555555555556,62.365591397849464
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax--pca-f,LinearClassifier,None,4-fold,51.81674565560821,52.87356321839081,51.075268817204304
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax--pca-f,LinearClassifier,MinMax,4-fold,56.71406003159558,57.47126436781609,56.18279569892473
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax--pca-f,LinearClassifier,Z-score,4-fold,61.61137440758294,47.89272030651341,71.23655913978494
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax--pca-br,1-NN-L2,None,4-fold,77.09320695102686,72.41379310344827,80.3763440860215
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax--pca-br,1-NN-L2,MinMax,4-fold,75.35545023696683,72.03065134099617,77.68817204301075
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax--pca-br,1-NN-L2,Z-score,4-fold,75.98736176935229,74.32950191570882,77.15053763440861
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax--pca-br,GaussianNB,None,4-fold,78.19905213270142,88.50574712643679,70.96774193548387
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax--pca-br,GaussianNB,MinMax,4-fold,78.19905213270142,88.50574712643679,70.96774193548387
