Train,Test,Features,Classifier,Scaler,Eval-mode,Accuracy,Sensitivity,Specificity
LUNGx,LUNGx,resnet50-avgpool--ax-sag-cor--pcl-f,LinearClassifier,MinMax,4-fold,57.971014492753625,56.25,59.45945945945946
LUNGx,LUNGx,resnet50-avgpool--ax-sag-cor--pcl-br,GaussianNB,None,4-fold,56.52173913043478,46.875,64.86486486486487
LUNGx,LUNGx,resnet50-avgpool--ax--pca-f,GaussianNB,MinMax,4-fold,53.62318840579711,46.875,59.45945945945946
LUNGx,LUNGx,resnet50-avgpool--ax--pca-f,GaussianNB,Z-score,4-fold,53.62318840579711,46.875,59.45945945945946
LUNGx,LUNGx,resnet50-avgpool--ax--pca-f,LogisticRegression,None,4-fold,53.62318840579711,0.0,100.0
LUNGx,LUNGx,resnet50-avgpool--ax--pca-f,LogisticRegression,MinMax,4-fold,53.62318840579711,43.75,62.16216216216216
LUNGx,LUNGx,resnet50-avgpool--ax--pca-f,LinearClassifier,MinMax,4-fold,53.62318840579711,50.0,56.75675675675676
LUNGx,LUNGx,resnet50-avgpool--ax--pca-br,LogisticRegression,MinMax,4-fold,55.072463768115945,46.875,62.16216216216216
LUNGx,LUNGx,swin_v2-avgpool-ax-gs-f,GaussianNB,MinMax,4-fold,66.66666666666666,62.5,70.27027027027027
LUNGx,LUNGx,swin_v2-avgpool-ax-gs-f,GaussianNB,Z-score,4-fold,66.66666666666666,62.5,70.27027027027027
LUNGx,LUNGx,swin_v2-avgpool-ax-gs-br,LogisticRegression,MinMax,4-fold,62.31884057971014,65.625,59.45945945945946
LUNGx,LUNGx,swin_v2-avgpool-ax-gs-br,LogisticRegression,Z-score,4-fold,62.31884057971014,65.625,59.45945945945946
LUNGx,LUNGx,swin_v2-avgpool-ax-gs-br,LinearClassifier,MinMax,4-fold,62.31884057971014,53.125,70.27027027027027
LUNGx,LUNGx,swin_v2-avgpool--ax-sag-cor--pcl-f,LinearClassifier,Z-score,4-fold,62.31884057971014,65.625,59.45945945945946
LUNGx,LUNGx,swin_v2-avgpool--ax-sag-cor--pcl-br,LinearClassifier,Z-score,4-fold,59.42028985507246,65.625,54.054054054054056
LUNGx,LUNGx,swin_v2-avgpool--ax--pca-f,1-NN-L2,None,4-fold,62.31884057971014,62.5,62.16216216216216
LUNGx,LUNGx,swin_v2-avgpool--ax--pca-f,1-NN-L2,Z-score,4-fold,62.31884057971014,59.375,64.86486486486487
LUNGx,LUNGx,swin_v2-avgpool--ax--pca-br,LogisticRegression,None,4-fold,53.62318840579711,0.0,100.0
LUNGx,LUNGx,swin_v2-avgpool--ax--pca-br,LinearClassifier,MinMax,4-fold,53.62318840579711,34.375,70.27027027027027
LIDC-IDRI,LUNGx,hc,LogisticRegression,None,full,63.76811594202898,28.125,94.5945945945946
LIDC-IDRI,LUNGx,convnext-avgpool-ax-gs-f,LinearClassifier,Z-score,full,59.42028985507246,40.625,75.67567567567568
LIDC-IDRI,LUNGx,convnext-avgpool-ax-gs-br,LogisticRegression,Z-score,full,62.31884057971014,43.75,78.37837837837837
LIDC-IDRI,LUNGx,convnext-avgpool-ax-gs-br,LinearClassifier,Z-score,full,62.31884057971014,40.625,81.08108108108108
LIDC-IDRI,LUNGx,convnext-avgpool--ax-sag-cor--pcl-f,GaussianNB,None,full,60.86956521739131,15.625,100.0
LIDC-IDRI,LUNGx,convnext-avgpool--ax-sag-cor--pcl-f,GaussianNB,MinMax,full,60.86956521739131,15.625,100.0
LIDC-IDRI,LUNGx,convnext-avgpool--ax-sag-cor--pcl-f,GaussianNB,Z-score,full,60.86956521739131,15.625,100.0
LIDC-IDRI,LUNGx,convnext-avgpool--ax-sag-cor--pcl-br,1-NN-L2,MinMax,full,60.86956521739131,18.75,97.2972972972973
LIDC-IDRI,LUNGx,convnext-avgpool--ax-sag-cor--pcl-br,GaussianNB,None,full,60.86956521739131,25.0,91.8918918918919
LIDC-IDRI,LUNGx,convnext-avgpool--ax-sag-cor--pcl-br,GaussianNB,MinMax,full,60.86956521739131,25.0,91.8918918918919
LIDC-IDRI,LUNGx,convnext-avgpool--ax-sag-cor--pcl-br,GaussianNB,Z-score,full,60.86956521739131,25.0,91.8918918918919
LIDC-IDRI,LUNGx,convnext-avgpool--ax--pca-f,GaussianNB,None,full,59.42028985507246,31.25,83.78378378378379
LIDC-IDRI,LUNGx,convnext-avgpool--ax--pca-f,GaussianNB,MinMax,full,59.42028985507246,31.25,83.78378378378379
LIDC-IDRI,LUNGx,convnext-avgpool--ax--pca-f,GaussianNB,Z-score,full,59.42028985507246,31.25,83.78378378378379
LIDC-IDRI,LUNGx,convnext-avgpool--ax--pca-br,1-NN-L2,Z-score,full,60.86956521739131,18.75,97.2972972972973
LIDC-IDRI,LUNGx,convnext-avgpool--ax--pca-br,LinearClassifier,None,full,60.86956521739131,25.0,91.8918918918919
LIDC-IDRI,LUNGx,resnet50-avgpool-ax-gs-f,GaussianNB,None,full,57.971014492753625,34.375,78.37837837837837
LIDC-IDRI,LUNGx,resnet50-avgpool-ax-gs-f,GaussianNB,MinMax,full,57.971014492753625,34.375,78.37837837837837
LIDC-IDRI,LUNGx,resnet50-avgpool-ax-gs-f,GaussianNB,Z-score,full,57.971014492753625,34.375,78.37837837837837
LIDC-IDRI,LUNGx,resnet50-avgpool-ax-gs-f,LinearClassifier,None,full,57.971014492753625,9.375,100.0
LIDC-IDRI,LUNGx,resnet50-avgpool-ax-gs-br,GaussianNB,None,full,62.31884057971014,37.5,83.78378378378379
LIDC-IDRI,LUNGx,resnet50-avgpool-ax-gs-br,GaussianNB,MinMax,full,62.31884057971014,37.5,83.78378378378379
LIDC-IDRI,LUNGx,resnet50-avgpool-ax-gs-br,GaussianNB,Z-score,full,62.31884057971014,37.5,83.78378378378379
LIDC-IDRI,LUNGx,resnet50-avgpool--ax-sag-cor--pcl-f,LogisticRegression,Z-score,full,65.21739130434783,40.625,86.48648648648648
LIDC-IDRI,LUNGx,resnet50-avgpool--ax-sag-cor--pcl-br,GaussianNB,MinMax,full,65.21739130434783,46.875,81.08108108108108
LIDC-IDRI,LUNGx,resnet50-avgpool--ax-sag-cor--pcl-br,GaussianNB,Z-score,full,65.21739130434783,46.875,81.08108108108108
LIDC-IDRI,LUNGx,resnet50-avgpool--ax--pca-f,GaussianNB,None,full,63.76811594202898,50.0,75.67567567567568
LIDC-IDRI,LUNGx,resnet50-avgpool--ax--pca-br,GaussianNB,None,full,59.42028985507246,21.875,91.8918918918919
LIDC-IDRI,LUNGx,swin_v2-avgpool-ax-gs-f,GaussianNB,None,full,55.072463768115945,34.375,72.97297297297297
LIDC-IDRI,LUNGx,swin_v2-avgpool-ax-gs-f,GaussianNB,MinMax,full,55.072463768115945,34.375,72.97297297297297
LIDC-IDRI,LUNGx,swin_v2-avgpool-ax-gs-f,GaussianNB,Z-score,full,55.072463768115945,34.375,72.97297297297297
LIDC-IDRI,LUNGx,swin_v2-avgpool-ax-gs-br,GaussianNB,None,full,57.971014492753625,21.875,89.1891891891892
LIDC-IDRI,LUNGx,swin_v2-avgpool-ax-gs-br,GaussianNB,MinMax,full,57.971014492753625,21.875,89.1891891891892
LIDC-IDRI,LUNGx,swin_v2-avgpool-ax-gs-br,GaussianNB,Z-score,full,57.971014492753625,21.875,89.1891891891892
LIDC-IDRI,LUNGx,swin_v2-avgpool--ax-sag-cor--pcl-f,GaussianNB,None,full,57.971014492753625,15.625,94.5945945945946
LIDC-IDRI,LUNGx,swin_v2-avgpool--ax-sag-cor--pcl-f,GaussianNB,MinMax,full,57.971014492753625,15.625,94.5945945945946
LIDC-IDRI,LUNGx,swin_v2-avgpool--ax-sag-cor--pcl-f,GaussianNB,Z-score,full,57.971014492753625,15.625,94.5945945945946
LIDC-IDRI,LUNGx,swin_v2-avgpool--ax-sag-cor--pcl-br,LinearClassifier,None,full,65.21739130434783,37.5,89.1891891891892
LIDC-IDRI,LUNGx,swin_v2-avgpool--ax--pca-f,LogisticRegression,MinMax,full,63.76811594202898,34.375,89.1891891891892
LIDC-IDRI,LUNGx,swin_v2-avgpool--ax--pca-br,1-NN-L2,None,full,60.86956521739131,18.75,97.2972972972973
LUNGx,LIDC-IDRI,hc,LogisticRegression,None,full,65.24486571879937,28.735632183908045,90.86021505376344
LUNGx,LIDC-IDRI,convnext-avgpool-ax-gs-f,LogisticRegression,None,full,58.767772511848335,0.0,100.0
LUNGx,LIDC-IDRI,convnext-avgpool-ax-gs-br,LogisticRegression,None,full,58.767772511848335,0.0,100.0
LUNGx,LIDC-IDRI,convnext-avgpool-ax-gs-br,LinearClassifier,None,full,58.767772511848335,3.065134099616858,97.84946236559139
LUNGx,LIDC-IDRI,convnext-avgpool--ax-sag-cor--pcl-f,LogisticRegression,MinMax,full,59.71563981042654,63.601532567049816,56.98924731182796
LUNGx,LIDC-IDRI,convnext-avgpool--ax-sag-cor--pcl-f,LinearClassifier,MinMax,full,59.71563981042654,32.18390804597701,79.03225806451613
LUNGx,LIDC-IDRI,convnext-avgpool--ax-sag-cor--pcl-br,LinearClassifier,Z-score,full,59.71563981042654,95.01915708812261,34.946236559139784
LUNGx,LIDC-IDRI,convnext-avgpool--ax--pca-f,LogisticRegression,None,full,58.767772511848335,0.0,100.0
LUNGx,LIDC-IDRI,convnext-avgpool--ax--pca-f,LinearClassifier,None,full,58.767772511848335,0.0,100.0
LUNGx,LIDC-IDRI,convnext-avgpool--ax--pca-br,LogisticRegression,MinMax,full,68.72037914691943,91.57088122605363,52.68817204301075
LUNGx,LIDC-IDRI,resnet50-avgpool-ax-gs-f,LogisticRegression,None,full,58.767772511848335,0.0,100.0
LUNGx,LIDC-IDRI,resnet50-avgpool-ax-gs-f,LinearClassifier,None,full,58.767772511848335,0.0,100.0
LUNGx,LIDC-IDRI,resnet50-avgpool-ax-gs-br,LogisticRegression,None,full,58.767772511848335,0.0,100.0
LUNGx,LIDC-IDRI,resnet50-avgpool--ax-sag-cor--pcl-f,1-NN-L2,MinMax,full,60.34755134281201,41.37931034482759,73.65591397849462
LUNGx,LIDC-IDRI,resnet50-avgpool--ax-sag-cor--pcl-br,LogisticRegression,None,full,58.767772511848335,0.0,100.0
LUNGx,LIDC-IDRI,resnet50-avgpool--ax--pca-f,LogisticRegression,MinMax,full,63.98104265402843,49.808429118773944,73.9247311827957
LUNGx,LIDC-IDRI,resnet50-avgpool--ax--pca-br,GaussianNB,None,full,60.97946287519748,61.68582375478927,60.483870967741936
LUNGx,LIDC-IDRI,resnet50-avgpool--ax--pca-br,GaussianNB,MinMax,full,60.97946287519748,68.96551724137932,55.376344086021504
LUNGx,LIDC-IDRI,swin_v2-avgpool-ax-gs-f,LogisticRegression,None,full,58.767772511848335,0.0,100.0
LUNGx,LIDC-IDRI,swin_v2-avgpool-ax-gs-f,LinearClassifier,None,full,58.767772511848335,0.0,100.0
LUNGx,LIDC-IDRI,swin_v2-avgpool-ax-gs-br,LogisticRegression,None,full,58.767772511848335,0.0,100.0
LUNGx,LIDC-IDRI,swin_v2-avgpool-ax-gs-br,LinearClassifier,None,full,58.767772511848335,0.0,100.0
LUNGx,LIDC-IDRI,swin_v2-avgpool--ax-sag-cor--pcl-f,LogisticRegression,None,full,58.767772511848335,0.0,100.0
LUNGx,LIDC-IDRI,swin_v2-avgpool--ax-sag-cor--pcl-f,LinearClassifier,None,full,58.767772511848335,0.0,100.0
LUNGx,LIDC-IDRI,swin_v2-avgpool--ax-sag-cor--pcl-br,LinearClassifier,MinMax,full,68.08846761453397,59.77011494252874,73.9247311827957
LUNGx,LIDC-IDRI,swin_v2-avgpool--ax--pca-f,LogisticRegression,None,full,58.767772511848335,0.0,100.0
LUNGx,LIDC-IDRI,swin_v2-avgpool--ax--pca-f,LinearClassifier,None,full,58.767772511848335,0.0,100.0
LUNGx,LIDC-IDRI,swin_v2-avgpool--ax--pca-br,LinearClassifier,MinMax,full,68.8783570300158,77.39463601532567,62.903225806451616
